Fly,Pre Opto Forward Velocity ,Opto On Forward Velocity,Pre Opto Rotational Speed,Opto On Rotational Speed,Pre Opto Forward Acceleration,Opto On Forward Acceleration,Pre Opto Rotational Acceleration ,Opto On Rotational Acceleration,Moving Percentage,,,
90,7.895,4.6494,83.2927,129.244,-0.000013257,-0.000091743,-0.00013083,0.0058388,78.481,,average,median
91,6.8963,9.7562,92.4583,75.2947,0.000031069,0.000069835,-0.00059018,-0.00014114,73.418,,35.86493788,29.747
93,4.0157,3.6355,45.459,50.9597,-0.000011409,-0.000061303,0.0015493,0.0001169,12.658,,,
96,5.8182,4.1237,75.2845,100.7579,-0.000053654,-0.000097866,-0.0008183,0.0015755,51.899,,,
99,7.1526,5.687,58.4007,72.4726,-0.00010173,0.000073138,0.00027613,0.0010803,21.519,,,
100,5.9098,6.8785,54.0808,65.668,-0.000076274,0.000062099,0.00072647,0.0030686,13.924,,,
101,8.9363,5.7696,57.1244,71.7467,0.000058806,-0.00017785,0.00054513,0.00097383,46.835,,,
102,7.0496,6.6614,80.4476,114.8039,-0.000096853,0.000133,0.00072073,0.00075031,51.899,,,
103,4.7792,5.9875,70.1042,73.8908,-0.000047101,0.00010361,-0.00052061,0.0003077,22.785,,,
105,6.0228,3.3385,64.802,106.3559,0.000066763,-0.000072958,0.00079726,0.003169,50.633,,,
